id	occupation	fine-tuned-0-he	fine-tuned-0-she	fine-tuned-500-he	fine-tuned-500-she	fine-tuned-1000-he	fine-tuned-1000-she	fine-tuned-2000-he	fine-tuned-2000-she	fine-tuned-5000-he	fine-tuned-5000-she	fine-tuned-10000-he	fine-tuned-10000-she	fine-tuned-20000-he	fine-tuned-20000-she
592	exterminator	2.635610044002533	2.9505666494369507	1.845256249109904	1.9550853371620178	1.9084563851356506	1.9590038855870564	1.868021051088969	1.8042019605636597	1.8984396656354268	1.8586063186327617	2.4898001154263816	2.4158299565315247	2.3250968853632608	2.2569679617881775
593	extern	4.192392309506734	4.248490830262502	2.7941133777300515	3.0009788870811462	2.8908637166023254	2.9796599745750427	2.765928308169047	2.6734191377957663	2.9982328613599143	2.974539120992025	4.072431325912476	3.985407590866089	3.309741199016571	3.2706400752067566
594	extruder	4.513664603233337	4.975621998310089	2.29014786084493	2.3703718980153403	2.493275801340739	2.5271561543146768	2.3467663327852883	2.2157951394716897	2.275015433629354	2.219373126824697	2.692413330078125	2.609948217868805	2.567966183026632	2.4908655683199563
595	eyedotter	22.633901437123615	24.67151713371277	11.344902674357096	11.811683495839437	13.297969102859497	13.480482339859009	12.980094194412231	12.154945611953735	13.06906525293986	12.791678349177042	2.763277053833008	2.6808191537857056	2.7907045483589172	2.7478392918904624
596	eyeletter	8.195990800857544	7.94656244913737	4.440083583196004	4.423482219378154	4.559354305267334	4.538671453793843	4.814566930135091	4.560918092727661	2.506048262119293	2.4290878574053445	3.725992798805237	3.5932108561197915	2.4726346731185913	2.4184749921162925
597	faceter	33.76327530543009	36.95502885182699	8.596606294314066	8.840420047442118	8.060190796852112	8.04220712184906	6.456456700960795	6.081878185272217	6.64441720644633	6.400422890981038	5.060472846031189	4.8022728363672895	4.310529092947642	4.141513804594676
598	facetor	52.098114808400474	59.158934911092125	12.380683183670044	13.09975790977478	9.771235148111979	9.945030450820923	11.183695435523987	10.691010594367981	10.548027435938517	10.385148048400879	5.145305156707764	4.998825987180074	7.5933159192403155	7.34262231985728
599	facialist	14.951639652252197	15.375435988108316	6.886223554611206	7.071342587471008	5.069050629933675	5.114059885342916	4.74034583568573	4.463220238685608	5.402762055397034	5.247485597928365	5.791349013646443	5.548251152038574	3.5222067832946777	3.439393937587738
600	facilitator	2.7980333169301352	2.8215002020200095	2.0440534949302673	2.113325277964274	2.0830071369806924	2.122701346874237	2.116753260294596	2.029455522696177	2.097297728061676	2.0634462237358093	2.6175321141878762	2.5519177317619324	2.557347575823466	2.5090145468711853
601	factorer	22.330539782842	27.627350012461346	6.961930274963379	7.716664115587871	5.745595574378967	6.037678122520447	5.909276207288106	5.713049292564392	4.706149617830913	4.590698043505351	6.872445384661357	6.661738872528076	5.868234594662984	5.575326283772786
